feature_id,working_key,class,module,submodule,source_family_inventory_envelope,P1_status,P2_status,P3_status,P4_status,P5_status,P6_status,P7_status,P8_status,agent_assignments,evidence_count,gaps,reconciliation_status
ASSET-ASSET-DOCUMENT,ASSET-ASSET-DOCUMENT,H,Assets and equipment,ASSET-ASSET-DOCUMENT — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=ASSET-ASSET-DOCUMENT; legacy_rows=1; routes=3; pages=0; backend_anchors=1.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=3, pages=0, backend_anchors=1. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,Mapped—verified benchmark with final-target completion credit; inheritance=direct_exact_id_and_source_lineage; full feature parity is not claimed.,"Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,"Blocked—target-specific tests, constraints and failure-mode evidence are not linked; the complete audit-wide test denominator was not executed as one controlled gate.","Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=exact, benchmark_status=verified_benchmark_direct. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",6,no exact target-linked finding; representative-role runtime task/state evidence blocked; target page enrichment unavailable,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
ASSET-ASSET-REPORT,ASSET-ASSET-REPORT,H,Assets and equipment,ASSET-ASSET-REPORT — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=ASSET-ASSET-REPORT; legacy_rows=1; routes=1; pages=1; backend_anchors=1.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=1, pages=1, backend_anchors=1. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,Mapped—verified benchmark with final-target completion credit; inheritance=direct_exact_id_and_source_lineage; full feature parity is not claimed.,"Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,"Blocked—target-specific tests, constraints and failure-mode evidence are not linked; the complete audit-wide test denominator was not executed as one controlled gate.","Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=exact, benchmark_status=verified_benchmark_direct. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",5,no exact target-linked finding; representative-role runtime task/state evidence blocked,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
ASSET-ASSET-TRACKER,ASSET-ASSET-TRACKER,H,Assets and equipment,ASSET-ASSET-TRACKER — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=ASSET-ASSET-TRACKER; legacy_rows=1; routes=2; pages=0; backend_anchors=1.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=2, pages=0, backend_anchors=1. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,"Blocked—final mapping status=unproved_pending; no completion credit. Pending, rejected, split, regrouped, merged, or unproved evidence is not inherited.","Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,"Blocked—target-specific tests, constraints and failure-mode evidence are not linked; the complete audit-wide test denominator was not executed as one controlled gate.","Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=exact, benchmark_status=unproved_pending. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",4,P3 benchmark/no-match completion unproved; no exact target-linked finding; representative-role runtime task/state evidence blocked; target page enrichment unavailable,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
CAP-ASSET-ASSET-QR-LABEL-ARTIFACT,CAP-ASSET-ASSET-QR-LABEL-ARTIFACT,H,Assets and equipment,CAP-ASSET-ASSET-QR-LABEL-ARTIFACT — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=ASSET-ASSET-QR; legacy_rows=1; routes=4; pages=0; backend_anchors=1.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=3, pages=0, backend_anchors=1. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,Mapped—verified benchmark with final-target completion credit; inheritance=fresh_target_specific_adjudication; full feature parity is not claimed.,"Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,"Blocked—target-specific tests, constraints and failure-mode evidence are not linked; the complete audit-wide test denominator was not executed as one controlled gate.","Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=exact, benchmark_status=verified_benchmark_direct. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",6,no exact target-linked finding; representative-role runtime task/state evidence blocked; target page enrichment unavailable,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
CAP-ASSET-ASSET-QR-TOKEN-RESOLUTION,CAP-ASSET-ASSET-QR-TOKEN-RESOLUTION,H,Assets and equipment,CAP-ASSET-ASSET-QR-TOKEN-RESOLUTION — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=ASSET-ASSET-QR; legacy_rows=1; routes=4; pages=0; backend_anchors=1.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=1, pages=0, backend_anchors=1. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,"Blocked—final mapping status=unproved; no completion credit. Pending, rejected, split, regrouped, merged, or unproved evidence is not inherited.","Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,"Blocked—target-specific tests, constraints and failure-mode evidence are not linked; the complete audit-wide test denominator was not executed as one controlled gate.","Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=exact, benchmark_status=unproved. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",3,P3 benchmark/no-match completion unproved; no exact target-linked finding; representative-role runtime task/state evidence blocked; target page enrichment unavailable,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
CAP-ASSET-FIXED-ASSET-DEPRECIATION,CAP-ASSET-FIXED-ASSET-DEPRECIATION,H,Assets and equipment,CAP-ASSET-FIXED-ASSET-DEPRECIATION — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=ASSET-FIXED-ASSET; legacy_rows=1; routes=6; pages=2; backend_anchors=1.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=1, pages=0, backend_anchors=1. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,Mapped—verified benchmark with final-target completion credit; inheritance=fresh_target_specific_wave5_direct; full feature parity is not claimed.,"Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,Reviewed (source only)—exact target-linked finding evidence records constraints/failure modes; tests were not executed and target-wide test sufficiency is unproved.,"Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=exact, benchmark_status=verified_benchmark_direct. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",5,representative-role runtime task/state evidence blocked; target page enrichment unavailable,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
CAP-ASSET-FIXED-ASSET-DISPOSAL,CAP-ASSET-FIXED-ASSET-DISPOSAL,H,Assets and equipment,CAP-ASSET-FIXED-ASSET-DISPOSAL — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=ASSET-FIXED-ASSET; legacy_rows=1; routes=6; pages=2; backend_anchors=1.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=1, pages=1, backend_anchors=1. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,Mapped—verified benchmark with final-target completion credit; inheritance=fresh_target_specific_wave5_direct; full feature parity is not claimed.,"Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,"Blocked—target-specific tests, constraints and failure-mode evidence are not linked; the complete audit-wide test denominator was not executed as one controlled gate.","Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=exact, benchmark_status=verified_benchmark_direct. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",5,no exact target-linked finding; representative-role runtime task/state evidence blocked,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
CAP-ASSET-FIXED-ASSET-REGISTER,CAP-ASSET-FIXED-ASSET-REGISTER,H,Assets and equipment,CAP-ASSET-FIXED-ASSET-REGISTER — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=ASSET-FIXED-ASSET; legacy_rows=1; routes=6; pages=2; backend_anchors=1.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=7, pages=2, backend_anchors=1. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,Mapped—verified benchmark with final-target completion credit; inheritance=fresh_target_specific_wave5_direct; full feature parity is not claimed.,"Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,"Blocked—target-specific tests, constraints and failure-mode evidence are not linked; the complete audit-wide test denominator was not executed as one controlled gate.","Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=exact, benchmark_status=verified_benchmark_direct. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",12,no exact target-linked finding; representative-role runtime task/state evidence blocked,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
CAP-AUTH-EMAIL-VERIFICATION-LIFECYCLE,CAP-AUTH-EMAIL-VERIFICATION-LIFECYCLE,H,Authentication and account security,CAP-AUTH-EMAIL-VERIFICATION-LIFECYCLE — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=PLAT-EMAIL-VERIFICATION-NOTIFICATION; PLAT-EMAIL-VERIFICATION-PROMPT; PLAT-VERIFY-EMAIL; legacy_rows=3; routes=3; pages=1; backend_anchors=3.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=3, pages=1, backend_anchors=6. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,Mapped—verified benchmark with final-target completion credit; inheritance=fresh_target_specific_adjudication; full feature parity is not claimed.,"Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,Reviewed (source only)—exact target-linked finding evidence records constraints/failure modes; tests were not executed and target-wide test sufficiency is unproved.,"Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=audit_assigned_stable_name, benchmark_status=verified_benchmark_direct. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",13,representative-role runtime task/state evidence blocked,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
CAP-AUTH-PASSWORD-RECOVERY-REQUEST,CAP-AUTH-PASSWORD-RECOVERY-REQUEST,H,Authentication and account security,CAP-AUTH-PASSWORD-RECOVERY-REQUEST — stable working target,Source-family inventory envelope (discovery context only; never exclusive target ownership): families=AUTH-PASSWORD-RESET-LINK; legacy_rows=1; routes=2; pages=1; backend_anchors=1.,"Reviewed—stable corrected working target identity and discovery envelope reconciled; target-supported exact enrichment routes=2, pages=1, backend_anchors=0. Empty fields mean unenriched, never no route/page.",Blocked—target-specific representative-role task and persisted outcome were not executed as part of the audit; later focused remediation tests do not count as canonical task execution.,Mapped—verified benchmark with final-target completion credit; inheritance=fresh_target_specific_wave6_direct; full feature parity is not claimed.,"Blocked—representative-role happy, error, recovery, handoff, responsive and accessibility states were not safely executed for this target.","Reviewed—static target-supported route/page/backend anchors recorded; architecture, data, integration effects and runtime completion remain unverified.",Blocked—target-specific official-source applicability and representative role/site/direct-object runtime evidence are not linked.,"Blocked—target-specific tests, constraints and failure-mode evidence are not linked; the complete audit-wide test denominator was not executed as one controlled gate.","Reviewed (static challenge)—target survived the corrected 902 identity/count reconciliation; id_status=exact, benchmark_status=verified_benchmark_direct. No runtime or audit-completion claim follows.","P1-P8 specialist evidence register: evidence/source/agent-reconciliation-register.json; 105 assignments explicitly record role/ID, scope, pass, returned-evidence count and unresolved gaps; target-row lenses: P1/P5/P7/P8 final_matrix_rebuild, P3 benchmark_working_map, P2/P4/P6 blocked",5,no exact target-linked finding; representative-role runtime task/state evidence blocked; target backend-anchor enrichment unavailable,Corrected 902-target ledger row generated; static evidence only; audit completion not claimed
