"task_script_id","feature_id","module","actor","task","start_condition","goal","prerequisites","observed_or_inferred","validation_status","score_measurement_status","score_scale","discoverability","comprehension","learnability","efficiency","error_prevention","recovery","accessibility","safety_and_trust","consistency","cross_module_continuity","completion_time","step_count","required_field_count","decision_count","context_switches","dead_ends","recovery_path","target_scores","independent_review","finding_ids"
"TASK-ASSET-ASSET-DOCUMENT","ASSET-ASSET-DOCUMENT","ASSETS","Authorised asset custodian","Complete Asset Document and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-ASSET-ASSET-REPORT","ASSET-ASSET-REPORT","ASSETS","Authorised asset custodian","Complete Asset Report and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-ASSET-ASSET-TRACKER","ASSET-ASSET-TRACKER","ASSETS","Authorised asset custodian","Complete Asset Tracker and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-ASSET-ASSET-QR-LABEL-ARTIFACT","CAP-ASSET-ASSET-QR-LABEL-ARTIFACT","ASSETS","Authorised asset custodian","Complete Asset QR Label Artifact and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-ASSET-ASSET-QR-TOKEN-RESOLUTION","CAP-ASSET-ASSET-QR-TOKEN-RESOLUTION","ASSETS","Authorised asset custodian","Complete Asset QR Token Resolution and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-ASSET-FIXED-ASSET-DEPRECIATION","CAP-ASSET-FIXED-ASSET-DEPRECIATION","ASSETS","Authorised asset custodian","Complete Fixed Asset Depreciation and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review","FIN-FIXED-ASSET-DEPRECIATION-01"
"TASK-CAP-ASSET-FIXED-ASSET-DISPOSAL","CAP-ASSET-FIXED-ASSET-DISPOSAL","ASSETS","Authorised asset custodian","Complete Fixed Asset Disposal and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-ASSET-FIXED-ASSET-REGISTER","CAP-ASSET-FIXED-ASSET-REGISTER","ASSETS","Authorised asset custodian","Complete Fixed Asset Register and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-AUTH-EMAIL-VERIFICATION-LIFECYCLE","CAP-AUTH-EMAIL-VERIFICATION-LIFECYCLE","AUTH","Account holder or authorised account administrator","Complete Email Verification Lifecycle and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review","AUTH-EMAIL-VERIFY-CONTRACT-01"
"TASK-CAP-AUTH-PASSWORD-RECOVERY-REQUEST","CAP-AUTH-PASSWORD-RECOVERY-REQUEST","AUTH","Account holder or authorised account administrator","Complete Password Recovery Request and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
