visual_id,legacy_feature_id,feature_id,working_feature_ids,feature_link_status,feature_link_evidence,module,route_name,route_path,role,site_scope,viewport,state,pattern_type,component_anchor,implementation,trigger,screenshot,internal_baseline,classification,observed_notes,finding_ids
VIS-000001,PUB-ROUTE-ABOUT,CAP-PUB-PRODUCT-DISCOVERY,CAP-PUB-PRODUCT-DISCOVERY,source_family_one_to_one,source family PUB-ROUTE-ABOUT has exactly one final target,Public and marketing,about,about,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,about,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 0; <44px heuristic 1,
VIS-000002,PUB-ROUTE-ABOUT,CAP-PUB-PRODUCT-DISCOVERY,CAP-PUB-PRODUCT-DISCOVERY,source_family_one_to_one,source family PUB-ROUTE-ABOUT has exactly one final target,Public and marketing,about,about,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,about,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 0; <44px heuristic 1,
VIS-000003,PUB-ROUTE-ABOUT,CAP-PUB-PRODUCT-DISCOVERY,CAP-PUB-PRODUCT-DISCOVERY,source_family_one_to_one,source family PUB-ROUTE-ABOUT has exactly one final target,Public and marketing,about,about,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,about,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 0; <44px heuristic 1,
VIS-000004,PUB-ROUTE-ABOUT,CAP-PUB-PRODUCT-DISCOVERY,CAP-PUB-PRODUCT-DISCOVERY,source_family_one_to_one,source family PUB-ROUTE-ABOUT has exactly one final target,Public and marketing,about,about,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,about,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 0; <44px heuristic 1,
VIS-000005,CAP-OPS-ATTENDANCE-BREAKS,CAP-OPS-ATTENDANCE-BREAKS,CAP-OPS-ATTENDANCE-BREAKS,exact_working_key,legacy feature_id exactly equals final working key CAP-OPS-ATTENDANCE-BREAKS,Operations and rostering,attendance.index,attendance,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,attendance/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 0; <44px heuristic 25 [Capability link uncertainty: legacy family OPS-ATTENDANCE; 3 plausible canonical capabilities; retained primary CAP-OPS-ATTENDANCE-BREAKS without claiming exclusivity.],
VIS-000006,CAP-OPS-ATTENDANCE-BREAKS,CAP-OPS-ATTENDANCE-BREAKS,CAP-OPS-ATTENDANCE-BREAKS,exact_working_key,legacy feature_id exactly equals final working key CAP-OPS-ATTENDANCE-BREAKS,Operations and rostering,attendance.index,attendance,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,attendance/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 0; <44px heuristic 25 [Capability link uncertainty: legacy family OPS-ATTENDANCE; 3 plausible canonical capabilities; retained primary CAP-OPS-ATTENDANCE-BREAKS without claiming exclusivity.],
VIS-000007,CAP-OPS-ATTENDANCE-BREAKS,CAP-OPS-ATTENDANCE-BREAKS,CAP-OPS-ATTENDANCE-BREAKS,exact_working_key,legacy feature_id exactly equals final working key CAP-OPS-ATTENDANCE-BREAKS,Operations and rostering,attendance.index,attendance,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,attendance/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 0; <44px heuristic 25 [Capability link uncertainty: legacy family OPS-ATTENDANCE; 3 plausible canonical capabilities; retained primary CAP-OPS-ATTENDANCE-BREAKS without claiming exclusivity.],
VIS-000008,CAP-OPS-ATTENDANCE-BREAKS,CAP-OPS-ATTENDANCE-BREAKS,CAP-OPS-ATTENDANCE-BREAKS,exact_working_key,legacy feature_id exactly equals final working key CAP-OPS-ATTENDANCE-BREAKS,Operations and rostering,attendance.index,attendance,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,attendance/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 2; <44px heuristic 13 [Capability link uncertainty: legacy family OPS-ATTENDANCE; 3 plausible canonical capabilities; retained primary CAP-OPS-ATTENDANCE-BREAKS without claiming exclusivity.],
VIS-000009,PRIV-AUDIT-LOG,CAP-PRIV-SYSTEM-AUDIT-LOG-REVIEW,CAP-PRIV-SYSTEM-AUDIT-LOG-REVIEW,source_family_one_to_one,source family PRIV-AUDIT-LOG has exactly one final target,Privacy and compliance,audit.index,audit-logs,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,audit/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 4; <44px heuristic 41,
VIS-000010,PRIV-AUDIT-LOG,CAP-PRIV-SYSTEM-AUDIT-LOG-REVIEW,CAP-PRIV-SYSTEM-AUDIT-LOG-REVIEW,source_family_one_to_one,source family PRIV-AUDIT-LOG has exactly one final target,Privacy and compliance,audit.index,audit-logs,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,audit/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 4; <44px heuristic 39,
VIS-000011,PRIV-AUDIT-LOG,CAP-PRIV-SYSTEM-AUDIT-LOG-REVIEW,CAP-PRIV-SYSTEM-AUDIT-LOG-REVIEW,source_family_one_to_one,source family PRIV-AUDIT-LOG has exactly one final target,Privacy and compliance,audit.index,audit-logs,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,audit/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 4; <44px heuristic 39,
VIS-000012,PRIV-AUDIT-LOG,CAP-PRIV-SYSTEM-AUDIT-LOG-REVIEW,CAP-PRIV-SYSTEM-AUDIT-LOG-REVIEW,source_family_one_to_one,source family PRIV-AUDIT-LOG has exactly one final target,Privacy and compliance,audit.index,audit-logs,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,audit/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 4; <44px heuristic 28,
VIS-000013,SET-CONFIRMABLE-PASSWORD,CAP-AUTH-SENSITIVE-ACTION-REAUTH,CAP-AUTH-SENSITIVE-ACTION-REAUTH,source_family_one_to_one,source family SET-CONFIRMABLE-PASSWORD has exactly one final target,Settings and system access,verification.notice,email/verify,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,auth/confirm-password,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 0; <44px heuristic 2,
VIS-000014,SET-CONFIRMABLE-PASSWORD,CAP-AUTH-SENSITIVE-ACTION-REAUTH,CAP-AUTH-SENSITIVE-ACTION-REAUTH,source_family_one_to_one,source family SET-CONFIRMABLE-PASSWORD has exactly one final target,Settings and system access,verification.notice,email/verify,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,auth/confirm-password,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 0; <44px heuristic 2,
VIS-000015,SET-CONFIRMABLE-PASSWORD,CAP-AUTH-SENSITIVE-ACTION-REAUTH,CAP-AUTH-SENSITIVE-ACTION-REAUTH,source_family_one_to_one,source family SET-CONFIRMABLE-PASSWORD has exactly one final target,Settings and system access,verification.notice,email/verify,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,auth/confirm-password,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 0; <44px heuristic 2,
VIS-000016,SET-CONFIRMABLE-PASSWORD,CAP-AUTH-SENSITIVE-ACTION-REAUTH,CAP-AUTH-SENSITIVE-ACTION-REAUTH,source_family_one_to_one,source family SET-CONFIRMABLE-PASSWORD has exactly one final target,Settings and system access,verification.notice,email/verify,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,auth/confirm-password,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 0; <44px heuristic 2,
VIS-000017,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,exact_working_key,legacy feature_id exactly equals final working key CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,"Sites, facilities and catering",sites.calendar.global,calendar,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,calendar/global,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 0; <44px heuristic 47 [Capability link uncertainty: legacy family SITE-SITE-CALENDAR; 2 plausible canonical capabilities; retained primary CAP-SITE-SITE-CALENDAR-EVENT-PLANNING without claiming exclusivity.],
VIS-000018,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,exact_working_key,legacy feature_id exactly equals final working key CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,"Sites, facilities and catering",sites.calendar.global,calendar,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,calendar/global,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 0; <44px heuristic 47 [Capability link uncertainty: legacy family SITE-SITE-CALENDAR; 2 plausible canonical capabilities; retained primary CAP-SITE-SITE-CALENDAR-EVENT-PLANNING without claiming exclusivity.],
