module,submodule,scope_anchor,route_callsites,name_callsites,source_classification,P1,P2,P3,P4,P5,P6,P7,P8,agent_assignments,evidence_count,gaps,reconciliation,completion_credit
HR and IT API,api-hr,routes/api-hr.php,14,16,C,PARTIAL_STATIC_COMPOSITE_CLASSIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
eMAR API,api_medications,routes/api_medications.php,30,30,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Fleet/Assets and Sites,assets,routes/assets.php,48,48,C,PARTIAL_STATIC_COMPOSITE_CLASSIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Personal account/OAuth,auth,routes/auth.php,5,5,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Catering and meal libraries,catering,routes/catering.php,17,18,M/P,PARTIAL_STATIC_ROUTE_FAMILY_GAP_IDENTIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Fleet realtime authorization; two broadcast channels,channels,routes/channels.php,0,0,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Client record and care,clients,routes/clients.php,59,59,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Cross-module compliance command centre,compliance,routes/compliance.php,1,1,M/P,PARTIAL_STATIC_ROUTE_FAMILY_GAP_IDENTIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Cross-module scheduled automation; 117 schedules and one Artisan closure,console,routes/console.php,0,2,C,PARTIAL_STATIC_COMPOSITE_CLASSIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Control Room,control-room,routes/control-room.php,115,115,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
